id,sepal_length,sepal_width,petal_length,petal_width,class
id001,5.1,3.5,1.4,0.2,Iris-setosa
id002,4.9,3,1.4,0.2,Iris-setosa
id003,4.7,3.2,1.3,0.2,Iris-setosa
id004,4.6,3.1,1.5,0.2,Iris-setosa
id005,5,3.6,1.4,0.2,Iris-setosa
id006,5.4,3.9,1.7,0.4,Iris-setosa
id007,4.6,3.4,1.4,0.3,Iris-setosa
id008,5,3.4,1.5,0.2,Iris-setosa
id009,4.4,2.9,1.4,0.2,Iris-setosa
id010,4.9,3.1,1.5,0.1,Iris-setosa
id011,5.4,3.7,1.5,0.2,Iris-setosa
id012,4.8,3.4,1.6,0.2,Iris-setosa
id013,4.8,3,1.4,0.1,Iris-setosa
id014,4.3,3,1.1,0.1,Iris-setosa
id015,5.8,4,1.2,0.2,Iris-setosa
id016,5.7,4.4,1.5,0.4,Iris-setosa
id017,5.4,3.9,1.3,0.4,Iris-setosa
id018,5.1,3.5,1.4,0.3,Iris-setosa
id019,5.7,3.8,1.7,0.3,Iris-setosa
id020,5.1,3.8,1.5,0.3,Iris-setosa
id021,5.4,3.4,1.7,0.2,Iris-setosa
id022,5.1,3.7,1.5,0.4,Iris-setosa
id023,4.6,3.6,1,0.2,Iris-setosa
id024,5.1,3.3,1.7,0.5,Iris-setosa
id025,4.8,3.4,1.9,0.2,Iris-setosa
id026,5,3,1.6,0.2,Iris-setosa
id027,5,3.4,1.6,0.4,Iris-setosa
id028,5.2,3.5,1.5,0.2,Iris-setosa
id029,5.2,3.4,1.4,0.2,Iris-setosa
id030,4.7,3.2,1.6,0.2,Iris-setosa
id031,4.8,3.1,1.6,0.2,Iris-setosa
id032,5.4,3.4,1.5,0.4,Iris-setosa
id033,5.2,4.1,1.5,0.1,Iris-setosa
id034,5.5,4.2,1.4,0.2,Iris-setosa
id035,4.9,3.1,1.5,0.1,Iris-setosa
id036,5,3.2,1.2,0.2,Iris-setosa
id037,5.5,3.5,1.3,0.2,Iris-setosa
id038,4.9,3.1,1.5,0.1,Iris-setosa
id039,4.4,3,1.3,0.2,Iris-setosa
id040,5.1,3.4,1.5,0.2,Iris-setosa
id041,5,3.5,1.3,0.3,Iris-setosa
id042,4.5,2.3,1.3,0.3,Iris-setosa
id043,4.4,3.2,1.3,0.2,Iris-setosa
id044,5,3.5,1.6,0.6,Iris-setosa
id045,5.1,3.8,1.9,0.4,Iris-setosa
id046,4.8,3,1.4,0.3,Iris-setosa
id047,5.1,3.8,1.6,0.2,Iris-setosa
id048,4.6,3.2,1.4,0.2,Iris-setosa
id049,5.3,3.7,1.5,0.2,Iris-setosa
id050,5,3.3,1.4,0.2,Iris-setosa
id051,7,3.2,4.7,1.4,Iris-versicolor
id052,6.4,3.2,4.5,1.5,Iris-versicolor
id053,6.9,3.1,4.9,1.5,Iris-versicolor
